Tyrion Lannister, Tyrion, 
A Golden Crown, 
Tyrion, Tyrion Lannister, 
Arya, 
Queen Cersei, Cersei, 
King's Landing, 
Lancel Lannister, 
Eyrie, 
Vaes Dothrak, 
Syrio Forel, Syrio, 
King Robert, Robert, King Robert Baratheon, 
Lord Eddard, Eddard, Lord Eddard Stark, 
Weiss, 
Viserys, 
Lord Eddard Stark, Lord Eddard, Eddard, 
Bronn, 
Eddard, Lord Eddard, Lord Eddard Stark, 
King's Hand, 
Jaime, Jaime Lannister, 
Robert, King Robert, King Robert Baratheon, 
D.B., 
Game of Thrones, 
House Lannister, 
Syrio, Syrio Forel, 
Ser Barristan Selmy, 
Daniel Minahan, 
David Benioff, 
House Stark, 
Seven Kingdoms, 
Jane Espenson, 
Cersei, Queen Cersei, 
King Robert Baratheon, King Robert, Robert, 
Jaime Lannister, Jaime, 
Renly, 
Jory,
